3,"compLexity Gaming"
4,"EHOME"
5,"INVICTUS GAMING"
15,"PSG.LGD"
36,"Natus Vincere"
39,"Evil Geniuses"
46,"Team Empire"
67,"paiN Gaming"
2163,"Team Liquid"
111474,"Alliance"
350190,"Fnatic"
543897,"Mineski"
726228,"Vici Gaming"
1366506,"Black Sheep!"
1375614,"Newbee"
1520578,"CDEC "
1838315,"Team Secret"
1883502,"Virtus.pro"
2006913,"Vega Squadron"
2108395,"TNC Predator"
2586976,"OG"
2626685,"KEEN GAMING"
2672298,"Infamous Gaming"
3214090,"Hippomaniacs"
3262331,"Team EVOS"
3785359,"BOOM ID"
4817649,"496 Gaming"
5014799,"Nemiga Gaming"
5055770,"Gorillaz-Pride"
5059375,"The Final Tribe"
5066616,"Team Serenity"
5679840,"SG e-sports"
5892936,"Team Xolotl"
6209143,"Gambit Esports"
6209166,"Team Aster"
6209804,"Royal Never Give Up"
6214538,"Newbee"
6214973,"Ninjas in Pyjamas"
6288801,"J.Storm"
6382242,"Thunder Predator"
6711290,"Team Singularity"
6765426,"RESURGENCE"
6797380,"AMPLFY"
6953913,"FlyToMoon"
7019882,"Aachen City Esports"
7059982,"Team Sirius"
7079109,"beastcoast"
7098928,"Adroit"
7118032,"Winstrike Team"
7119077,"EGOBOYS"
7119388,"Team Spirit"
7203342,"Chaos Esports Club"
7220281,"Furia"
7225724,"Team Jinesbrus"
7233180,"Team Ham"
7234776,"Old Suck Gaming"
7237270,"Bald"
7247584,"Kookaburra"
